tweet_id,tweet_text,label,corrected_label,informative_content,corrected_label_1,informative_content_1,confusing_cases
540773166164238337',629 families evacuated in villages of Maninila and Tandarora of Guinobatan town in Albay. | @abrilata12 @InquirerSLB #RubyPH,affected_people_and_evacuations,affected_people_and_evacuations,629 families evacuated,,,
540525476427866112',"http://t.co/vvMECMfBKL | People flee homes as #Hagupit panic\ngrips #Philippines, military on high\nalert",affected_people_and_evacuations,affected_people_and_evacuations,People flee homes,,,
541160452429213696',"""@FoxNews: More than 600,000 flee as typhoon nears Philippines http://t.co/nh8j4SOQVf"" Just as many should flee Fox after last night bitches",displaced_people_and_evacuations,affected_people_and_evacuations,"More than 600,000 flee [SEP]many should flee Fox",,,
542070766750416896',RT @NBCNews: More than 1 million flee as Typhoon Hagupit tears through Philippines http://t.co/DJZ8qMn3Ax http://t.co/hDCfDQO9yL,displaced_people_and_evacuations,affected_people_and_evacuations,More than 1 million flee,,,
540995496265789440,On our way to evacuation center. #Hagupit #RubyPH #Sorsogon,affected_people_and_evacuations,affected_people_and_evacuations,On our way to evacuation center. #Hagupit #RubyPH #Sorsogon,,,
541939067839975426',RT @lourddv: AWW. NO ONE LEFT BEHIND. “@jv_arcena: Young evacuees to bring their pet to the evacuation center #RubyPH http://t.co/VThLV1KzZ…,displaced_people_and_evacuations,affected_people_and_evacuations,Young evacuees to bring their pet to the evacuation center,,,
540851065831579648',"2.5 million people to evacuate in the Philippines ahead of #Hagupit, the strongest typhoon so far in 2014 http://t.co/pnZZcA2FAc",affected_people_and_evacuations,affected_people_and_evacuations,2.5 million people to evacuate,,,
540158490816565248',Samar readies forced evacuation vs 'Hagupit'  http://t.co/IL300UjwN4 via ABS-CBN,affected_people_and_evacuations,affected_people_and_evacuations,forced evacuation,,,
540536737542336512',RT @PreventionWeb: #Philippines: Huge demand for evacuation centres in #Tacloban @UNISDR #Hagupit http://t.co/OyZUDp7BV6,affected_people_and_evacuations,affected_people_and_evacuations,Huge demand for evacuation centres,,,
541088770138075137',Huge task in #preparedness evacuation as extreme #weather overtake the earth #yphoon #Hagupit http://t.co/mBQJ4NY4ch,affected_people_and_evacuations,affected_people_and_evacuations,Huge task in #preparedness evacuation,,,
541539227062652928',RT @rapplerdotcom: Wonderful news in the midst of the storm! Baby abandoned then saved in Cebu during #RubyPH: http://t.co/tqMtPKdLjU http:…,missing_trapped_or_found_people,affected_people_and_evacuations,Baby abandoned then saved,,,
540957863120617472',"RT""@350: Our thoughts w/ Philippines - Evacuation has begun as Typhoon #Hagupit approaches: http://t.co/EgqnKwlnrU #climate #resilience",affected_people_and_evacuations,affected_people_and_evacuations,Evacuation has begun,,,
541075210338709505',"Tanauan, #Leyte, in central PH abandoned as residents shelter at evacuation centers #Hagupit (AP Photo/Paul Cinco) http://t.co/EdcUoz35LI",affected_people_and_evacuations,affected_people_and_evacuations,residents shelter at evacuation centers,,,
541058613318385664',Children in Lipayran evacuation centers in Bantayan are suffering from LBM. #RubyPH,affected_people_and_evacuations,affected_people_and_evacuations,Children in Lipayran evacuation centers,,,
540789121577283585',"RT @InqNational: 22,801 persons evacuated in Camalig, Albay. #RubyPH | @abrilata12 @InquirerSLB",displaced_people_and_evacuations,affected_people_and_evacuations,"22,801 persons evacuated",,,
540912841990361088',.@CBCNews reports that about half a million people moved to emergency shelters and safer grounds | #Hagupit - http://t.co/pn8OySNeha,rescue_volunteering_and_donation_effort,affected_people_and_evacuations,about half a million people moved to emergency shelters and safer grounds,,,
540412330488524802',"Sleeping mats,sheets, jerry cans and mosquito nets for 30,000 families pre-positioned by @Federation in Cebu, Manila&amp;Subic #RubyPH #Hagupit",affected_people_and_evacuations,affected_people_and_evacuations,"30,000 families pre-positioned ",,,
540756599590383616',##RubyPH: Over 2000 passengers stranded at seaports - Rappler http://t.co/0OJ9jf1V97,affected_people_and_evacuations,affected_people_and_evacuations,Over 2000 passengers stranded,,,
542110896286605312',Hagupit death toll rising - The storm that has buffeted the Philippines for days weakened Monday as it rumbled fro... http://t.co/UFzuToBU5T,injured_or_dead_people,affected_people_and_evacuations,death toll rising,,,
540651228150374400',"Philippine Coast Guard: As of 5AM, stranded due to #RubyPH – 2,098 passengers, 119 vessels, 144 rolling cargoes,... http://t.co/KVWCbxExA6",affected_people_and_evacuations,affected_people_and_evacuations,"stranded due to #RubyPH – 2,098 passengers, 119 vessels, 144 rolling cargoes,... ",,,
541983972826152962',21 Dead As Hagupit Hits Philippines; Storm's Impact Less Severe Than Expected: At least 21 people are dead and... http://t.co/j66Bny9Vpm,injured_or_dead_people,affected_people_and_evacuations,21 Dead[SEP]At least 21 people are dead,,,
541076695281717248',"Ormoc LGU issues preemptive evacuation, after NOAH warns of 2-3 meter potential storm surge to coastal areas. #RubyPH #commisaid",affected_people_and_evacuations,affected_people_and_evacuations,issues preemptive evacuation,,,
541412548021460992',"More than 600,000 flee homes as 150mph typhoon hits Philippines http://t.co/Gw7hkuJ7yf via @MailOnline",displaced_people_and_evacuations,affected_people_and_evacuations,"More than 600,000 flee homes",,,
540591635164184576',Disgusted w/ @cathaypacific refusing to cancel our honeymoon flight to Manila.  Fly in while others are being evacuated? Typhoon #Hagupit,affected_people_and_evacuations,affected_people_and_evacuations,others are being evacuated,,,
540589350049038336',Evacuations underway in Philippines ahead of powerful Typhoon #Hagupit #RubyPH http://t.co/zb7CwASqUc  http://t.co/tPRTAqh0DM,displaced_people_and_evacuations,affected_people_and_evacuations,Evacuations underway,,,
540774237934346240',Residents take shelter inside a church turned into a temporary evacuation center in Tacloban. EPA #RubyPH #Hagupit http://t.co/vHCsOkQtzI,affected_people_and_evacuations,affected_people_and_evacuations,Residents take shelter inside a church turned into a temporary evacuation center,,,
540986010210148352',"Thousands of people at evacuation centres across #Philippines endure sleepless night as typhoon #Hagupit approaches, I just told @AJEnglish",affected_people_and_evacuations,affected_people_and_evacuations,Thousands of people at evacuation centres,,,
541059765657280512',"#RubyPH Evacuation Center Update: \n\nSORSOGON- 323 evacuation centers\nFamilies- 31,682\nIndividuals-164,652\n\n| via @gwen_pang",affected_people_and_evacuations,affected_people_and_evacuations,"Evacuation Center Update: \n\nSORSOGON- 323 evacuation centers\nFamilies- 31,682\nIndividuals-164,652",,,
540854005023268864',No for at the evacuation area. What's going on Pnoy? #RubyPH,affected_people_and_evacuations,affected_people_and_evacuations,No for at the evacuation area,,,
540693666323374080',Guiuan residents find temporary shelter near the Municipal Hall as Eastern Samar braces for #RubyPH. @TayMicth071191 http://t.co/E8xh7wwnBN,affected_people_and_evacuations,affected_people_and_evacuations,Guiuan residents find temporary shelter,,,
542231315429720064',"Tropical storm Hagupit wreaks havoc in Philippines, killing at least 27 http://t.co/lUusy1hnZC Network Front | The Guardian Nearly 1.7 ...",injured_or_dead_people,affected_people_and_evacuations,killing at least 27,,,
541533161750941698',"Typhoon Hagupit: 500,000 people flee to safety in eastern Philippines http://t.co/izRrmwW569",displaced_people_and_evacuations,affected_people_and_evacuations,"500,000 people flee ",,,
541407497534599168',RT @afreedma: Typhoon #Hagupit begins agonizing 3-day trek thru Philippines. Deadly flooding likely. http://t.co/j1OOmLBmWc #RubyPH http://…,injured_or_dead_people,affected_people_and_evacuations,Deadly flooding likely,,,
540738851195453440',RT @TomSaterCNN: Past December #Philippines storms have taken too many lives. #Hagupit is stronger than these two. @cnntoday @cnni http://t…,injured_or_dead_people,affected_people_and_evacuations,taken too many lives,,,
541041413203300352',"500,000 Evacuated as typhoon #Hagupit approaches #Philippines.Last year,#typhoon Haiyan left over 7300 dead or missing.#Pray #GodsPrayerRoom",affected_people_and_evacuations,affected_people_and_evacuations,"500,000 Evacuated",,,
541070931364675585',People in Ormoc sheltering at a local primary school. IR Philippines ready to respond @IslamicReliefUK  #Hagupit http://t.co/YZWBm9dkFz,rescue_volunteering_and_donation_effort,affected_people_and_evacuations,People in Ormoc sheltering at a local primary school,,,
541049419223674880',Hundreds stranded in ports amid #RubyPH threat http://t.co/8K43lUDwim | @NCorralesINQ http://t.co/CgVBaDIbC1,affected_people_and_evacuations,affected_people_and_evacuations,Hundreds stranded,,,
540907875439501312',"100,000 flee Philippines coast as Super Typhoon Hagupit (also known as Ruby) approaches http://t.co/7ibH0ACX9u #RubyPH",affected_people_and_evacuations,affected_people_and_evacuations,"100,000 flee ",,,
540821787890552832',"DSWD Sec. Soliman says about 500,000 people moved to evacuation centers due to #RubyPH @PhilippineStar @PhilstarNews",affected_people_and_evacuations,affected_people_and_evacuations,"about 500,000 people moved to evacuation centers",,,
542459218763083776',RT @johnspatricc: → http://t.co/Bh4BxQO9Uy Typhoon Hagupit smashes the Philippines deaths recorded as interior secretary ... #TyphoonHagupi…,injured_or_dead_people,affected_people_and_evacuations,deaths recorded,,,
540453654860681216',EXPECTED IMPACT OF SUPER TYPHOON #HAGUPIT: Affected population Up to 5.6 million people people can be (cont) http://t.co/j9Zn0BUTuq,affected_people_and_evacuations,affected_people_and_evacuations,Affected population Up to 5.6 million people,,,
541096756323176449',Islamic Relief volunteers urging families to seek shelter ahead of typhoon #hagupit http://t.co/lYBuylqbTq,affected_people_and_evacuations,affected_people_and_evacuations,urging families to seek shelter,,,
541904813210886144',21 Dead: Hagupit weakens as it nears Philippine capital Manila http://t.co/mns5IFvZ04,injured_or_dead_people,affected_people_and_evacuations,21 Dead,,,
542075521316966400',RT @UNICEFLive: Good news from #Philippines: Families find shelter as they brace for Typhoon #Hagiput http://t.co/kiJXudbE8D #rubyph http:/…,displaced_people_and_evacuations,affected_people_and_evacuations,Families find shelter,,,
541995520533999616',Typhoon Hagupit (Ruby) - Red Cross - Alive and missing persons http://t.co/ht7qaFyJkw,missing_trapped_or_found_people,affected_people_and_evacuations,Alive and missing persons,,,
541942281528287232',"No major damage in Philippine typhoon; 3 dead: LEGAZPI, Philippines (AP) — Typhoon Hagupit knocked out power, left… http://t.co/2zOcI3n2jm",injured_or_dead_people,affected_people_and_evacuations,3 dead,infrastructure_and_utilities_damage,"No major damage 
knocked out power",
540644430219591680',"Stranded due to #RubyPH as of 5AM: 2,098 passengers, 119 vessels, 144 rolling cargoes, 9 motor bancas, 27... http://t.co/AMU6d2uGRy",affected_people_and_evacuations,affected_people_and_evacuations,"Stranded due to #RubyPH as of 5AM: 2,098 passengers, 119 vessels, 144 rolling cargoes, 9 motor bancas, 27...",,,
541551311125102592',RT @RT_com: 1 million evacuated as typhoon #Hagupit engulfs #Philippines (PHOTOS) http://t.co/yV66poWFzM http://t.co/JcjzuLk8v8,displaced_people_and_evacuations,affected_people_and_evacuations,1 million evacuated,,,
541072386368364544',"More evacuees from coastal barangays in Sorsogon arrive at the gym ahead of #RubyPH. | via @Joseph_Morong http://t.co/gNLw6uPcjh"" Update",infrastructure_and_utilities_damage,affected_people_and_evacuations,More evacuees from coastal barangays in Sorsogon arrive at the gym,,,
540655401939660801',Implement forced evacuation now. Bring food meds doctors to evac centers. Same #yolandaph mistakes happening again #rubyph #maroxas,affected_people_and_evacuations,affected_people_and_evacuations,Implement forced evacuation,,,
540764796614737921',"RT @dswdserves: #RubyPH Update:As of 10AM,5Dec 899,602 families/4,528,528 persons are affected in Regions 8 &amp; Caraga @dinkysunflower @govph…",other_useful_information,affected_people_and_evacuations,"899,602 families/4,528,528 persons are affected",,,
540992798351052800',"RT @dzrhnews: PCG UPDATE: as of 12mn:  stranded due to #RubyPH-952 passengers, 40 vessels, 115 rolloing cargoes, 9 motorized bancas, 49 can…",affected_people_and_evacuations,affected_people_and_evacuations,"stranded due to #RubyPH-952 passengers, 40 vessels, 115 rolloing cargoes, 9 motorized bancas, 49 can…",,,
540742802426953728',RT @upsystem: Tacloban evacuation (incl. #walangpasok in @UPVOfficial Tacloban College) underway for Hagupit http://t.co/93m0QMHQdT via @Ph…,infrastructure_and_utilities_damage,affected_people_and_evacuations,Tacloban evacuation (incl. #walangpasok in @UPVOfficial Tacloban College) underway,,,
541920280562511872',RT @DepEd_PH: We have made available a map of evacuation centers in #RubyPH-hit areas: http://t.co/df6YF95e7w http://t.co/ozBTjRZHkT | via …,displaced_people_and_evacuations,affected_people_and_evacuations,a map of evacuation centers,,,
540755773224009728',"RT @banderainquirer: OCD Caraga: 19,259 persons (4,293 fams.) pre-emptively evacuated in Surigao Norte, Surigao Sur, Dinagat Islands #RubyP…",affected_people_and_evacuations,affected_people_and_evacuations,"19,259 persons (4,293 fams.) pre-emptively evacuated",,,
540545024195170304',"Pre-emptive evacuation ongoing\n\nBicol braces for massive landslides, lahar flow http://t.co/DhDRhcuGfe #RubyPH",affected_people_and_evacuations,affected_people_and_evacuations,Pre-emptive evacuation ongoing,,,
541460086548213761',"650,000 Flee Typhoon Hagupit in Philippines, Bad Memories Revived http://t.co/IVsWfKYQXF",displaced_people_and_evacuations,affected_people_and_evacuations,"650,000 Flee ",,,
540433153039409152',The people here in #Guiuan are busy going to different evacuation sites and tying down their roofs #Hagupit #RubyPH #commisaid,affected_people_and_evacuations,affected_people_and_evacuations,The people here in #Guiuan are busy going to different evacuation sites,,,
540357021141176320',#forex #money Millions at Risk From Typhoon Hagupit in the Philippines - Wall Street Journal http://t.co/p6rNtog0Wc http://t.co/vhPwAKYoAL,other_useful_information,affected_people_and_evacuations,Millions at Risk From Typhoon Hagupit,,,affected_people_and_evacuations
541038067331506178',#RubyPH  Thousands flee as typhoon approaches. http://t.co/lyAaNbCGS2,affected_people_and_evacuations,affected_people_and_evacuations,Thousands flee,,,
541972548158648320',[New Y. Times. EUA] Death Toll From Typhoon Hagupit Rises in Philippines: The number killed by th... http://t.co/F3RLv069xz vía J.A.M.V,injured_or_dead_people,affected_people_and_evacuations,Death Toll From Typhoon Hagupit Rises [SEP]The number killed,,,
540501142216912897',Emergency evacuation. THANK YOU! :3\n\n#HAGUPIT #RUBY #Storm #AlertLevelC http://t.co/z5CwyYXbmv,affected_people_and_evacuations,affected_people_and_evacuations,Emergency evacuation,,,
541910837112217602',"RT @atomaraullo: Sad news: CALBAYOG, Samar has its first casualty. A 2 year-old is confirmed dead after getting crushed by an uprooted tree…",injured_or_dead_people,affected_people_and_evacuations,first casualty[SEP]A 2 year-old is confirmed dead,,,
540827323931451392',"DSWD Sec. Soliman: More than 100,000 families evacuated in Leyte, Samar areas, mostly from Western Samar. | @JulieMAurelio #RubyPH",affected_people_and_evacuations,affected_people_and_evacuations,"More than 100,000 families evacuated",,,
540812422001733632',#Update #RubyPH #Cebu #SanRemigio Pre-emptive evacuation from the danger zones and those living with light... http://t.co/W44l1jC53f,affected_people_and_evacuations,affected_people_and_evacuations,Pre-emptive evacuation,,,
540403479143919617',P-Noy tells DILG chief Mar Roxas that he wants LGUs to submit reports on how many people have been evacuated and when. #RubyPH #Hagupit,affected_people_and_evacuations,affected_people_and_evacuations,submit reports on how many people have been evacuated,,,
541874683755638784',"RT @BreaknNews: cnnbrk: At least 21 died in Philippines from Tropical Storm Hagupit, says secretary general of the P... http://t.co/LoDmvRo…",injured_or_dead_people,affected_people_and_evacuations,At least 21 died,,,
540546877079306240',Report from Tacloban City evac center: People being locked-in?  https://t.co/HjeYb2FycW\n\n#RubyPH,affected_people_and_evacuations,affected_people_and_evacuations,Report from Tacloban City evac center: People being locked-in?,,,
541038320289992704',Some 44 families and 251 individuals went to six evacuation centers in Ayungon town last night. #RubyPH #mediangbayan #pia7news,affected_people_and_evacuations,affected_people_and_evacuations,Some 44 families and 251 individuals went to six evacuation centers,,,
541086156574949377',"600,000 Flee #Philippines Coast as Storm Nears http://t.co/vfnnkjCtYN #Hagupit",affected_people_and_evacuations,affected_people_and_evacuations,"600,000 Flee",,,
543575183852707841',"RT @inquirerdotnet: 800,000 typhoon Ruby victims remain in evacuation centers: At least 800,000… http://t.co/gyxEnyfIaB #news #philippines",displaced_people_and_evacuations,affected_people_and_evacuations,"800,000 typhoon Ruby victims remain in evacuation centers",,,
541090135111380992',.5M evacuate coastal areas as #Hagupit nears Philippines. http://t.co/BjHiErr5TW via @AJEnglish,affected_people_and_evacuations,affected_people_and_evacuations,.5M evacuate,,,
542514591498915841',.@CarinAtPlan: The enormous effort of the gov't evacuating people from unsafe zones prevented potential loss of many lives. #Hagupit #RubyPH,displaced_people_and_evacuations,affected_people_and_evacuations,evacuating people,,,
540854492057436161',"RT @govph: Updates from @dswdserves, on #RubyPH evacuation and activation of quick response teams: http://t.co/R7BLNJsWMh http://t.co/FkmkX…",affected_people_and_evacuations,affected_people_and_evacuations,#RubyPH evacuation,,,
540434087484604416',People of #Samar should take shelter for #Hagupit Still incertainty in the models. (EC &amp; GFS) http://t.co/qLop16Jc7C,affected_people_and_evacuations,affected_people_and_evacuations,People of #Samar should take shelter,,,
540823823910993920',"RT @OCHAPhilippines: If #Hagupit continues under projected track, an est 4.5 million people within the 65 km radius may be affected in 14 p…",rescue_volunteering_and_donation_effort,affected_people_and_evacuations,an est 4.5 million people within the 65 km radius may be affected,,,
541040197433962496',"1,800 people evacuated from homes in Masbate as #RubyPH nears Eastern Samar - @piosolcom | @InquirerSLB",affected_people_and_evacuations,affected_people_and_evacuations,"1,800 people evacuated ",,,
541071362144485379',@MARoxas meeting w/ San Julian local execs re: mandatory evacuation of residents in coastal villages #RubyPH http://t.co/2KWzxQJgPD,affected_people_and_evacuations,affected_people_and_evacuations,mandatory evacuation of residents in coastal villages,,,
540675758419484672,@piotalisay says residents in landslide prone Manipis will be evacuated to a facility near a reforestation area nearby #RubyPH @sunstarcebu,affected_people_and_evacuations,affected_people_and_evacuations,Manipis will be evacuated,,,
540892709154615297,Thousands including this child trooped to evacuation sites in #TaclobanCity today as #TyphoonHagupit looms. #RubyPH http://t.co/TzobitlacA,affected_people_and_evacuations,affected_people_and_evacuations,Thousands including this child trooped to evacuation sites,,,
540933953826586624,RT @EndTimeHeadline: Some 4.5 million people will be within a 40-mile radius of damaging winds if #Hagupit—which the U.S. Navy’s Joint... h…,rescue_volunteering_and_donation_effort,affected_people_and_evacuations,Some 4.5 million people will be within a 40-mile radius of damaging winds,,,
541071463076204544,People packing into shelters in Philippines as #Hagupit nears east coast. http://t.co/Jzw7PeQtdd,affected_people_and_evacuations,affected_people_and_evacuations,People packing into shelters,,,
541951636227108865',"Tropical Storm Hagupit batters Philippines, killing at least 21: The deadly storm that… http://t.co/Vpxdm0zzp7 #CNN",injured_or_dead_people,affected_people_and_evacuations,killing at least 21,,,
542063655097880576',"Philippines typhoon downgraded, but death toll rises to at least 22: Typhoon Hagupit weakened into a tropical ... http://t.co/zoFWXeNEqu",injured_or_dead_people,affected_people_and_evacuations,death toll rises to at least 22,,,
540565358407872513,"People flee as #Typhoon #Hagupit panic grips #Philippines"" via @IndianExpres: http://t.co/9LH47j4SzT // @seasianpeoples #PrayerMatters",affected_people_and_evacuations,affected_people_and_evacuations,People flee,,,
541038578240086018,"33 evacuation centers housing 3,181 families from Borlongan, Eastern Samar. #RubyPH",affected_people_and_evacuations,affected_people_and_evacuations,"33 evacuation centers housing 3,181 families",,,
541810355467321344',"No Major Damage in Philippine Typhoon; 3 Dead: Typhoon weakens after hitting the Philippines, killing 3 and fo... http://t.co/Ohqf2hdr7q",injured_or_dead_people,affected_people_and_evacuations,3 Dead[SEP]killing 3,,,
540382122721038336,Tacloban evacuation underway for Hagupit - Philippine Star http://t.co/588VEpi3Nz,affected_people_and_evacuations,affected_people_and_evacuations,Tacloban evacuation underway,,,
541263009524748288',Typhoon Hagupit evacuation steps up http://t.co/SvOUy8nL8b,displaced_people_and_evacuations,affected_people_and_evacuations,Typhoon Hagupit evacuation steps up,,,
540868517986193408,Some 2T families from 10 barangays have already been evacuated due to #RubyPH | @cebugovph,affected_people_and_evacuations,affected_people_and_evacuations,Some 2T families from 10 barangays have already been evacuated,,,
541069375894089728,"Close to 500,000 people are fleeing their homes in the Philippines as Typhoon #Hagupit approaches. By @BBCNews http://t.co/kiw7EsHUb1",affected_people_and_evacuations,affected_people_and_evacuations,"Close to 500,000 people are fleeing their homes ",,,
541235383925620737',"500,000 evacuated as Hagupit roars to Philippines http://t.co/E7x5tIUsXz",displaced_people_and_evacuations,affected_people_and_evacuations,"500,000 evacuated ",,,
540944224925937664,waiting for status reports on preemptive evacuation done by region 6 LGUs. #RubyPH #slowreporting,affected_people_and_evacuations,affected_people_and_evacuations,preemptive evacuation done,,,
542155505481682944',Typhoon Hagupit: Death Toll Jumps in Philippines on Samar Island - http://t.co/QDk0BFHTKr http://t.co/XKyQiKjate #Typhoon,injured_or_dead_people,affected_people_and_evacuations,Death Toll Jumps,,,
541064851033194496,Hope better preparedness reduces impacts. RT @AlertNet: Typhoon #Hagupit triggers massive evacuation in #Philippines http://t.co/Xict6k5elr,affected_people_and_evacuations,affected_people_and_evacuations,massive evacuation,,,
541074520233103360,"TY #RubyPH:\n@NBCNewsWorld: 500,000 flee as Super Typhoon Hagupit approaches the Philippines  http://t.co/Xg8SFsgYDa http://t.co/m7UDUgtCwT",affected_people_and_evacuations,affected_people_and_evacuations,"500,000 flee",,,
541049090151165954,RT @miguelortilla Forced Evacuation begins in Eastern Samar hours into Typhoon Ruby's landfall. @9newsph #Hagupit #RubyPH,affected_people_and_evacuations,affected_people_and_evacuations,Forced Evacuation begins,,,
541060486783963136,"#RubyPH Evacuation Center Update: \n\nWESTERN SAMAR- 62 ECs\nFamilies-11,396\nIndividuals- 57,969\n\n| via @gwen_pang",affected_people_and_evacuations,affected_people_and_evacuations,"Evacuation Center Update: \n\nWESTERN SAMAR- 62 ECs\nFamilies-11,396\nIndividuals- 57,969",,,
542143657583714304',"[News5] At least 27 dead, says Red Cross, as Hagupit weakens into a tropical depression http://t.co/gpZDSPHo7w",injured_or_dead_people,affected_people_and_evacuations,At least 27 dead[SEP]Hagupit weakens into a tropical depression ,,,
542061392325775360',"3 deaths, injuries reported as Typhoon Hagupit floods parts of the Philippines http://t.co/3nAbEOvbOK",injured_or_dead_people,affected_people_and_evacuations,"3 deaths, injuries reported",,,
540929916053626880,"Presently, there are 120 evacuation centers in Eastern Visayas, and Caraga http://t.co/b71o1T3txS #Hagupit #RubyPH",affected_people_and_evacuations,affected_people_and_evacuations,120 evacuation centers in Eastern Visayas,,,
542875564701261824',"RT @OCHAPhilippines: #Hagupit triggered one of the world's biggest peacetime evacuations - 1.7 million people in 5,193 evacuation centres h…",displaced_people_and_evacuations,affected_people_and_evacuations,"1.7 million people in 5,193 evacuation centres",,,
540894393071185920,#Typhoon #Hagupit : #Samar residents evacuate to caves #Philippines #Ruby http://t.co/7hFOhO4gtG via @ABSCBNNews,affected_people_and_evacuations,affected_people_and_evacuations,#Samar residents evacuate to caves,,,
541456011245015040',RT @DZMMTeleRadyo: JUST IN: 2 dead reported in Iloilo due to hypothermia. #RubyPH | via @ANCALERTS,injured_or_dead_people,affected_people_and_evacuations,2 dead,,,
541847630926467072',Relief in Philippines as typhoon weakens 4 dead: Hundreds of thousands of Filipinos returned on Monday to home... http://t.co/EdF9AewRDu,injured_or_dead_people,affected_people_and_evacuations,4 dead,missing_trapped_or_found_people,Hundreds of thousands of Filipinos returned on Monday to home,mixed_information
540740720517070848',"RT @atomaraullo: Residents start fleeing to the hills in Quinapondan, Eastern Samar. #Hagupit #RubyPH @ANCALERTS http://t.co/umGtwpDK7c",displaced_people_and_evacuations,affected_people_and_evacuations,Residents start fleeing,,,
540780220295286784,DART government meeting addressing #Hagupit. Evacuation stats - 4245 families (19000 people) in 26 evacuation centres http://t.co/kpoZnTM8P3,affected_people_and_evacuations,affected_people_and_evacuations,Evacuation stats - 4245 families (19000 people) in 26 evacuation centres,,,
540854245021319168',🇸️🇵️🇾️⬜🇳️🇷️🇮️🇨️ 12/5/14 9:04 PM\nFilipinos Take Refuge in Church as Typhoon Hagupit Closes In\n#RubyPH http://t.co/iD3q4PsvKe,other_useful_information,affected_people_and_evacuations,Filipinos Take Refuge in Church,,,
541620931626405889',Typhoon Hagupit rips through Philippines: More than 1 million people had fled to shelters by the time... http://t.co/KjgjkAXTZi @TeamLOA,displaced_people_and_evacuations,affected_people_and_evacuations,More than 1 million people had fled to shelters,,,
540835509179023360,"As people stock up on supplies and move to evacuation centres, World Vision prepares to deliver food and basic supplies #Hagupit #RubyPH",affected_people_and_evacuations,affected_people_and_evacuations,people stock up on supplies and move to evacuation centres,,,
541219797929693184',"Typhoon's effects felt in Philippines; 600K flee: MANILA, Philippines (AP) ? Powerful Typhoon Hagupit started lashing the eastern Phi...",displaced_people_and_evacuations,affected_people_and_evacuations,600K flee,,,
